rank,country,HDI,life_exp,edu_yrs,edu_yrs_exp,gni_pc,gni_pc_min_hdi,hdi_non_gni
1,Norway,0.943,81.1,12.6,17.3,"47,557",6,0.975
2,Australia,0.929,81.9,12.0,18.0,"34,431",16,0.979
3,Netherlands,0.910,80.7,11.6,16.8,"36,402",9,0.944
4,United States,0.910,78.5,12.4,16.0,"43,017",6,0.931
5,New Zealand,0.908,80.7,12.5,18.0,"23,737",30,0.978
6,Canada,0.908,81.0,12.1,16.0,"35,166",10,0.944
7,Ireland,0.908,80.6,11.6,18.0,"29,322",19,0.959
8,Liechtenstein,0.905,79.6,10.3,14.7,"83,717",-6,0.877
9,Germany,0.905,80.4,12.2,15.9,"34,854",8,0.940
10,Sweden,0.904,81.4,11.7,15.7,"35,837",4,0.936
11,Switzerland,0.903,82.3,11.0,15.6,"39,924",0,0.926
12,Japan,0.901,83.4,11.6,15.1,"32,295",11,0.940
13,"Hong Kong, China (SAR)",0.898,82.8,10.0,15.7,"44,805",-4,0.910
14,Iceland,0.898,81.8,10.4,18.0,"29,354",11,0.943
15,Korea (Republic of),0.897,80.6,11.6,16.9,"28,230",12,0.945
16,Denmark,0.895,78.8,11.4,16.9,"34,347",3,0.926
17,Israel,0.888,81.6,11.9,15.5,"25,849",14,0.939
18,Belgium,0.886,80.0,10.9,16.1,"33,357",2,0.914
19,Austria,0.885,80.9,10.8,15.3,"35,719",-4,0.908
20,France,0.884,81.5,10.6,16.1,"30,462",4,0.919
21,Slovenia,0.884,79.3,11.6,16.9,"24,914",11,0.935
22,Finland,0.882,80.0,10.3,16.8,"32,438",0,0.911
23,Spain,0.878,81.4,10.4,16.6,"26,508",6,0.920
24,Italy,0.874,81.9,10.1,16.3,"26,484",6,0.914
25,Luxembourg,0.867,80.0,10.1,13.3,"50,557",-20,0.854
26,Singapore,0.866,81.1,8.8,14.4,"52,569",-22,0.851
27,Czech Republic,0.865,77.7,12.3,15.6,"21,405",14,0.917
28,United Kingdom,0.863,80.2,9.3,16.1,"33,296",-7,0.879
29,Greece,0.861,79.9,10.1,16.5,"23,747",5,0.902
30,United Arab Emirates,0.846,76.5,9.3,13.3,"59,993",-27,0.813
31,Cyprus,0.840,79.6,9.8,14.7,"24,841",2,0.866
32,Andorra,0.838,80.9,10.4,11.5,"36,095",-19,0.836
